CreatedDate,Agency,ComplaintType
11-Feb,DCA,Consumer Complaint
12-Jan,DSNY,Missed Collection (All Materials)
12-Jan,DSNY,Missed Collection (All Materials)
11-Feb,DOHMH,Indoor Air Quality
11-Feb,DOT,Street Condition
11-Feb,DOB,Plumbing
11-Jan,DOB,Plumbing
11-Feb,DFTA,Housing - Low Income Senior
11-Feb,NYPD,Illegal Parking
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,NONCONST
11-Feb,HPD,NONCONST
11-Feb,DEP,Noise
11-Feb,DEP,Water Conservation
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Food Establishment
11-Feb,DOT,Street Light Condition
11-Feb,DOHMH,Indoor Air Quality
11-Feb,DOT,Street Condition
11-Feb,DOB,General Construction/Plumbing
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DPR,Maintenance or Facility
11-Feb,DSNY,Graffiti
14-Dec,DOF,DOF Property - Owner Issue
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,ELECTRIC
11-Feb,HPD,ELECTRIC
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,PAINT - PLASTER
11-Feb,DEP,Noise
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Rodent
11-Feb,DOT,Street Light Condition
11-Feb,TLC,Taxi Complaint
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Noise
11-Feb,DEP,Noise
11-Feb,DEP,Water System
11-Feb,TLC,Taxi Complaint
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Street/Sidewalk
11-Feb,DOHMH,Food Establishment
11-Feb,DOT,Street Condition
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,PAINT - PLASTER
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Vehicle
11-Feb,DCA,Consumer Complaint
11-Feb,DCA,Consumer Complaint
11-Feb,DOHMH,Rodent
11-Feb,HPD,PLUMBING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Street/Sidewalk
11-Feb,DPR,Animal in a Park
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOB,General Construction/Plumbing
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,NYPD,Noise - Vehicle
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DOF,SCRIE
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PAINT - PLASTER
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Food Establishment
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DPR,Violation of Park Rules
11-Jan,DOB,General Construction/Plumbing
11-Feb,DOB,General Construction/Plumbing
11-Feb,HPD,NONCONST
11-Feb,DOHMH,Food Establishment
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DFTA,Housing Options
11-Feb,DPR,New Tree Request
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,DSNY,Graffiti
11-Feb,TLC,Taxi Complaint
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Water System
11-Feb,DEP,Water System
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Street/Sidewalk
11-Feb,DCA,Consumer Complaint
11-Feb,DOHMH,Rodent
11-Feb,NYPD,Drinking
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,DFTA,Housing - Low Income Senior
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,GENERAL CONSTRUCTION
17-Oct,HPD,PLUMBING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
12-Jan,DSNY,Dirty Conditions
11-Feb,HPD,NONCONST
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Air Quality
11-Feb,DEP,Water System
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Indoor Air Quality
11-Feb,DOB,General Construction/Plumbing
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PLUMBING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
17-Oct,DEP,Sewer
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,APPLIANCE
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Noise
12-Feb,DSNY,Dirty Conditions
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
12-Feb,DSNY,Dirty Conditions
11-Feb,DOB,Electrical
11-Feb,DPR,New Tree Request
11-Feb,DHS,DHS Advantage - Tenant
11-Feb,DFTA,Housing - Low Income Senior
11-Feb,DFTA,Elder Abuse
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PLUMBING
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
17-Oct,HPD,UNSANITARY CONDITION
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Rodent
11-Feb,DOB,General Construction/Plumbing
11-Feb,DOB,Plumbing
11-Feb,DOT,Street Condition
11-Feb,DOHMH,Unsanitary Animal Pvt Property
11-Feb,HPD,PLUMBING
11-Feb,HPD,APPLIANCE
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
17-Oct,HPD,PLUMBING
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Water System
11-Feb,HPD,NONCONST
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PAINT - PLASTER
17-Nov,NYPD,Noise - Vehicle
11-Feb,HPD,PAINT - PLASTER
11-Feb,DEP,Water System
11-Feb,DPR,Maintenance or Facility
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Street/Sidewalk
11-Feb,NYPD,Drinking
11-Feb,DOT,Street Light Condition
11-Feb,DOT,Street Light Condition
11-Feb,DOT,Street Light Condition
11-Feb,DOB,Plumbing
11-Feb,DPR,Illegal Tree Damage
11-Feb,DOF,DOF Property - Request Copy
11-Feb,DOF,SCRIE
11-Feb,DOF,SCRIE
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,ELECTRIC
11-Feb,HPD,ELECTRIC
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,PAINT - PLASTER
11-Feb,HPD,PAINT - PLASTER
11-Feb,DEP,Sewer
11-Feb,DEP,Water System
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Street/Sidewalk
11-Feb,NYPD,Non-Emergency Police Matter
11-Feb,DOHMH,Food Poisoning
11-Feb,DOHMH,Indoor Air Quality
11-Feb,DOT,Street Condition
11-Feb,DOT,Bus Stop Shelter Complaint
11-Feb,NYPD,Noise - Vehicle
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,HEATING
11-Feb,DOF,DOF Property - Payment Issue
11-Feb,NYPD,Illegal Parking
11-Feb,NYPD,Illegal Parking
11-Feb,NYPD,Illegal Parking
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
15-Jan,DOF,DOF Property - Owner Issue
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,NONCONST
11-Feb,HPD,NONCONST
11-Feb,HPD,PAINT - PLASTER
11-Feb,DEP,Noise
11-Mar,NYPD,Noise - Residential
11-Mar,DOT,Street Condition
11-Mar,DOF,DOF Property - Payment Issue
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,NONCONST
11-Mar,DEP,Noise
11-Mar,DEP,Noise
11-Mar,DEP,Sewer
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Bike/Roller/Skate Chronic
11-Mar,NYPD,Panhandling
11-Mar,DOHMH,Food Poisoning
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,HPD,PLUMBING
11-Mar,DOF,DOF Property - Reduction Issue
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,DOT,Bike Rack Condition
17-Oct,HPD,WATER LEAK
11-Mar,DEP,Noise
11-Mar,DEP,Water System
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DCA,Consumer Complaint
11-Mar,DOHMH,Rodent
11-Feb,TLC,Taxi Complaint
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DOT,Street Condition
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,HPD,PLUMBING
11-Feb,DOF,DOF Property - Reduction Issue
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Lead
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DCA,Consumer Complaint
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,PLUMBING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,DEP,Noise
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Indoor Air Quality
11-Feb,NYPD,Noise - Residential
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,HEATING
11-Feb,HPD,NONCONST
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DPR,Animal in a Park
11-Feb,DOT,Street Condition
11-Feb,DOT,Street Condition
11-Feb,TLC,Taxi Complaint
11-Feb,HPD,GENERAL CONSTRUCTION
11-Feb,HPD,HEATING
11-Feb,DEP,Noise
11-Feb,TLC,Taxi Complaint
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,NYPD,Noise - Residential
11-Feb,DOHMH,Rodent
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
17-Oct,DOT,Street Condition
17-Oct,DOT,Street Condition
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,DEP,Lead
11-Mar,DEP,Water System
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DCA,Consumer Complaint
11-Feb,DOB,Boilers
11-Jan,DOB,Building/Use
11-Feb,DOB,General Construction/Plumbing
11-Mar,DOT,Sidewalk Condition
17-Oct,HPD,PLUMBING
11-Mar,DOF,DOF Property - Payment Issue
11-Mar,DOHMH,Food Establishment
11-Mar,TLC,Taxi Complaint
11-Mar,NYPD,Noise - Residential
17-Oct,DEP,Water System
11-Mar,HPD,PLUMBING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DOF,SCRIE
17-Oct,DSNY,Dirty Conditions
11-Mar,DEP,Water System
11-Mar,DEP,Water System
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DOB,General Construction/Plumbing
11-Mar,NYPD,Illegal Parking
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DOHMH,Rodent
11-Mar,DOHMH,Rodent
11-Mar,DOT,Street Light Condition
11-Mar,NYPD,Noise - Vehicle
11-Mar,DOT,Bus Stop Shelter Complaint
11-Mar,DOF,DOF Property - Payment Issue
11-Mar,NYPD,Illegal Parking
11-Mar,DOF,SCRIE
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,ELECTRIC
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,DEP,Water System
11-Mar,TLC,Taxi Complaint
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DOB,General Construction/Plumbing
11-Mar,DOB,Investigations and Discipline (IAD)
11-Mar,TLC,Taxi Complaint
11-Mar,DOT,Street Condition
11-Mar,DPR,New Tree Request
11-Mar,DFTA,Housing - Low Income Senior
11-Mar,DOF,DOF Property - Payment Issue
11-Mar,DOF,SCRIE
11-Mar,DOF,DOF Property - Owner Issue
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,DEP,Air Quality
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DCA,Consumer Complaint
11-Mar,DOHMH,Indoor Air Quality
17-Oct,DSNY,Missed Collection (All Materials)
11-Mar,DOT,Street Condition
11-Mar,DPR,New Tree Request
11-Mar,NYPD,Illegal Parking
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,ELECTRIC
11-Mar,HPD,ELECTRIC
11-Mar,HPD,ELECTRIC
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,HEATING
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,DCA,Consumer Complaint
11-Mar,DOHMH,Rodent
11-Mar,DOT,Street Light Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,TLC,For Hire Vehicle Complaint
11-Mar,DOHMH,Rodent
11-Mar,DOF,SCRIE
11-Mar,DOF,SCRIE
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,TLC,Taxi Complaint
11-Mar,NYPD,Illegal Parking
11-Mar,NYPD,Illegal Parking
11-Mar,NYPD,Illegal Parking
11-Mar,HPD,ELECTRIC
11-Mar,NYPD,Noise - Commercial
11-Mar,NYPD,Noise - Commercial
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Street/Sidewalk
10-Dec,DOB,Building/Use
11-Mar,DOF,DOF Property - Payment Issue
11-Mar,DPR,Illegal Tree Damage
11-Mar,DHS,DHS Advantage - Tenant
11-Mar,DOB,General Construction/Plumbing
11-Mar,NYPD,Noise - Residential
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
15-Feb,DSNY,Graffiti
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,DEP,Noise
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Street/Sidewalk
11-Mar,NYPD,Non-Emergency Police Matter
11-Mar,NYPD,Derelict Vehicle
11-Mar,DOB,Plumbing
11-Mar,DPR,Damaged Tree
17-Oct,DOHMH,Rodent
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,PLUMBING
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
17-Oct,DOHMH,Rodent
11-Mar,DEP,Water Quality
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Street/Sidewalk
11-Mar,DCA,Consumer Complaint
11-Mar,DOHMH,Rodent
12-Mar,DSNY,Dirty Conditions
11-Mar,DOT,Street Condition
11-Mar,NYPD,Noise - Residential
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,NYPD,Illegal Parking
11-Mar,HPD,PLUMBING
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,PAINT - PLASTER
11-Mar,DEP,Lead
11-Mar,NYPD,Noise - Commercial
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Street/Sidewalk
11-Mar,NYPD,Noise - Vehicle
11-Mar,NYPD,Noise - Vehicle
11-Mar,DOHMH,Rodent
11-Mar,NYPD,Homeless Encampment
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
17-Oct,DOHMH,Rodent
11-Mar,NYPD,Illegal Parking
12-Mar,DSNY,Dirty Conditions
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PLUMBING
11-Mar,DOF,DOF Property - Reduction Issue
11-Mar,HPD,ELECTRIC
11-Mar,HPD,ELECTRIC
11-Mar,HPD,GENERAL CONSTRUCTION
17-Oct,DEP,Noise
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,HPD,HEATING
11-Mar,DEP,Air Quality
11-Mar,DEP,Noise
11-Mar,NYPD,Noise - Residential
11-Mar,NYPD,Noise - Residential
11-Mar,DOHMH,Food Establishment
11-Mar,DOHMH,Rodent
11-Mar,DOHMH,Rodent
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Sidewalk Condition
11-Mar,DSNY,Graffiti
11-Mar,DSNY,Graffiti
11-Mar,DOT,Street Condition
11-Mar,DOT,Street Condition
11-Mar,DOT,Sidewalk Condition
11-Mar,DSNY,Graffiti
11-Mar,DSNY,Graffiti
11-Mar,DSNY,Graffiti
11-Mar,DSNY,Graffiti
11-Mar,DSNY,Graffiti
11-Mar,DSNY,Graffiti
11-Mar,NYPD,Noise - Vehicle
11-Mar,HPD,GENERAL CONSTRUCTION
11-Mar,HPD,NONCONST
11-Mar,HPD,NONCONST
11-Mar,HPD,PAINT - PLASTER
11-Mar,HPD,PAINT - PLASTER
11-Mar,DEP,Sewer
11-Mar,NYPD,Noise - Commercial
11-Mar,NYPD,Noise - Residential
